,TOTAL_SECONDS,SNIPPETS,THROUGH_PUT_ROWS,THROUGH_PUT_BYTES,Clusters
924,7,21,0,92,4
925,1,3,2,136,1
926,1,2,1,2316,1
927,3,22,0,180,4
928,0,1,2,112,1
929,0,1,1920,15360,1
930,4,12,0,85,4
931,50,1,0,3,1
932,9,2,0,141,1
933,0,3,2,136,1
934,17,22,0,33,4
935,0,1,1,12,1
936,0,7,2,112,1
937,4,3,0,586,1
938,294,1,0,1,1
939,48,22,0,15,4
940,0,1,1920,15360,1
941,0,1,1920,15360,1
942,31,2,0,88,1
943,9,22,0,68,4
944,95,22,0,5,4
945,0,3,0,0,1
946,1,2,1920,15360,1
947,129,22,0,4,4
948,1,1,2,112,1
949,1,3,2,136,1
950,5,2,0,433,1
951,1,1,1,12,1
952,13,3,0,16,1
953,0,1,1920,15360,1
954,30,6,0,4,1
955,1,2,1,2664,1
956,3,16,0,129,4
957,0,3,2,136,1
958,4,1,0,28,1
959,0,3,2,136,1
960,1,1,2,48,1
961,2,1,1,48,1
962,0,2,1,376,1
963,0,4,0,0,1
964,32,22,0,21,4
965,0,3,2,112,1
966,5,7,0,22,1
967,2,6,1,48,1
968,0,1,1,12,1
969,0,1,2,112,1
970,1,1,2,104,1
971,1,1,2,88,1
972,0,3,0,0,1
973,4,1,0,12,1
974,2,3,1,56,1
975,0,3,2,136,1
976,0,1,1,12,1
977,0,1,2,72,1
978,15,22,0,29,4
979,10,1,0,68,1
980,2,1,0,6,1
981,21,21,0,26,4
982,0,1,0,0,1
983,1,1,2,112,1
984,0,1,2,32,1
985,1,17,2,312,4
986,1,1,1920,15360,1
987,3,1,0,37,1
988,3,21,0,185,4
989,2,1,1,56,1
990,138,10,0,1,1
991,1,2,1,3460,1
992,0,1,1,12,1
993,107,7,0,11,1
994,0,1,2,112,1
995,0,1,0,0,1
996,0,3,0,0,1
997,2,1,1,36,1
998,1,1,2,112,1
999,3,7,0,53,1
1000,2,2,0,206,1
1001,9,22,0,60,4
1002,1,7,2,112,1
1003,0,1,1,12,1
1004,3,15,0,116,4
1005,0,3,2,136,1
1006,93,4,0,0,1
1007,0,1,2,112,1
1008,0,3,2,136,1
1009,0,1,1,12,1
1010,18,13,0,18,4
1011,8,4,0,144,1
1012,79,2,0,15,1
1013,57,1,0,3,1
1014,1,2,1,376,1
1015,0,3,0,0,1
1016,0,4,2,40,1
1017,0,1,0,0,1
1018,1,1,2,112,1
1019,9,2,0,24,1
1020,6,2,0,83,1
1021,267,37,0,2,4
1022,0,2,1,2472,1
